,timestamp,block_size_average,provided_gas_average,block_difficulty_average,transactions_average_per_block,gas_used_sum,transactions_number,gas_div_transaction
0,2015-08-07,-1.3465081523719487,-0.8333819475179178,-0.788872706155175,-1.9867164750856376,-1.060475200439013,-1.67284756681466,
1,2015-08-08,-1.0137556344539687,2.528705618924065,-0.544256396354056,-1.556166584255285,1.704735231130757,-1.3374254049445866,
2,2015-08-09,-1.3598001181346655,-0.10594058378518725,-0.3451376931287637,-2.076495307667413,-1.0341728265726744,-1.7028034354237562,
3,2015-08-10,-1.3272099667939787,-0.21852254616327946,-0.2447437111692004,-1.836942316125178,-0.8538517954605461,-1.4477262072198782,
4,2015-08-11,-0.7731113204870934,-0.4283646145980633,-0.21492628356227533,-0.6797186538384297,-0.11339366228133207,-0.5883267272868579,
5,2015-08-12,-0.9983022109826667,0.9146179329495696,-0.21167271502552296,-1.8346167220464482,-0.828284052600466,-1.3913571808308651,
6,2015-08-13,-0.9116727063548542,0.010524528178224217,-0.18930918926124424,-1.5808375679393314,-0.7117175385002494,-1.142607174103237,
7,2015-08-14,-0.9146053648874997,-0.45778972187476535,-0.18184639191022026,-1.5592604964969659,-0.7296695761273042,-1.0009975773122417,
8,2015-08-15,-1.0219605475661124,-0.5973444030043323,-0.1736327946066779,-2.0338368532368074,-0.95293183791864,-1.2863849765258215,
9,2015-08-16,-0.9034430353016194,-0.49834396731329084,-0.16315213143262933,-1.8561698971030371,-0.9355120580118585,-1.2246065808297568,
10,2015-08-17,-0.8825662208432868,-0.5662672450944208,-0.1691344800873607,-1.886975722188228,-0.9099665622490711,-1.2217233269189651,
11,2015-08-18,-0.8111297108220212,-0.334714021150469,-0.164752461865514,-1.998766630477823,-0.897851146440696,-1.2775112661724088,
12,2015-08-19,-0.7696322767148939,-0.6758505838692013,-0.180121225410374,-1.6879622424522471,-0.7267718516844242,-1.0532671986197972,
13,2015-08-20,-0.7337006685653916,-0.46339428923511855,-0.20588211889130037,-1.6328813633143426,-0.9027928097912047,-1.2044912280701754,
14,2015-08-21,-0.646116397183936,-0.6922190366826855,-0.21183763029586106,-1.21262460020876,-0.6179130451792273,-0.7063871521392668,
15,2015-08-22,-0.7375340274453835,-0.3407079694831157,-0.18264299949044932,-1.357642336588197,-0.6737812337476836,-0.679419525065963,
